K1,FLV
0.017628764,0.040035606
0.023922292,0.040603423
0.033664119,0.041470284
0.046351279,0.042058436
0.070656106,0.042355639
0.088513009,0.042058436
0.126381853,0.040603423
0.241340441,0.036022582
0.187131169,0.038379367
0.376000311,0.031734309
0.342098579,0.03241181
0.416276453,0.030421488
0.510233994,0.027760354
0.625398266,0.025511019
0.76100454,0.022953887
0.932769915,0.020653073
1.032685719,0.019384823
0.165379763,0.039198745
0.013374195,0.038923694
0.011734029,0.038650572
0.01524362,0.039475741
0.020535833,0.040603423
0.211743405,0.037313453
0.028275264,0.041179293
0.039501576,0.041763331
0.053603771,0.042355639
0.06154213,0.042058436
0.078224598,0.042058436
0.100154592,0.041179293
0.143004097,0.039754682
0.308999395,0.033810532
0.467615503,0.029162968
0.564888887,0.026799983
0.692389246,0.02411365
0.848667549,0.021849903
0.112506512,0.040890344
0.275074652,0.035022124
0.031077332,0.041470284
