hclear_mm,K2
14.47236597,27.31818169
14.92462349,27.43939385
15.37688728,27.55303021
15.97989939,27.70454557
16.58291777,27.83333322
17.48743908,27.98484857
18.39196038,28.12121202
19.59799088,28.25757578
20.65327305,28.39393954
21.85929728,28.51515139
23.2160761,28.65151515
24.42211287,28.75757571
25.92964629,28.87121207
27.58794685,29.00000003
29.09548026,29.09848479
30.90452287,29.21212116
32.56281089,29.30303043
34.37186604,29.409091
36.18090865,29.49999996
38.14070586,29.58333344
40.10050306,29.6818182
42.06030027,29.75757588
44.32160667,29.85606065
46.58291307,29.92424253
48.39195568,29.99242409
50.50250748,30.06060597
52.91456847,30.13636365
55.02512028,30.19696973
57.13567208,30.25757581
59.54773307,30.31818189
61.95979407,30.38636361
64.07034587,30.4318181
66.33165227,30.48484854
68.59295867,30.53030302
70.85426507,30.56818186
72.96481687,30.62878794
75.22612327,30.66666662
77.78893886,30.71212126
80.20099985,30.74999994
82.76381545,30.79545458
85.02512185,30.82575762
87.73869203,30.8636363
90.15075303,30.90151514
92.56281402,30.93181818
95.12562961,30.96969702
97.83918726,30.99999991
100.4020028,31.03030295
102.8140638,31.05303034
105.0753702,31.07575759
107.185922,31.09848483
109.4472284,31.12121207
112.010044,31.13636367
22.46231566,28.58333327
